Date,Open,High,Low,Close,Adj Close,Volume,reward
2013/12/19,60.0,61.0,60.0,60.17,60.2,7221740.0,0.6666666666666666
2013/12/20,60.17,60.0,60.17,60.0,60.0,6000.0,0.9166666666666666
2014/3/11,60.0,60.0,60.0,60.0,60.0,314520.0,1.0
2014/3/14,60.0,63.0,60.0,63.0,63.0,12600.0,0.9166666666666666
2014/3/17,63.0,65.0,63.0,65.0,65.0,6500.0,0.5833333333333334
2014/3/18,65.0,65.0,65.0,65.0,65.0,6500.0,0.5
2014/3/19,65.0,66.0,65.0,66.0,66.0,660.0,0.16666666666666666
2014/3/20,66.0,65.0,66.0,65.0,65.0,390.0,0.3333333333333333
2014/3/21,65.0,63.0,65.0,63.0,63.0,3024.0,0.5
2014/3/24,63.0,65.0,63.0,65.0,65.0,780.0,0.25
2014/3/25,65.0,60.0,65.0,60.0,60.0,2100.0,0.8333333333333334
2014/3/26,60.0,65.0,60.0,65.0,65.0,520.0,0.16666666666666666
2014/3/27,65.0,60.0,65.0,60.0,60.0,960.0,0.8333333333333334
2014/3/28,60.0,61.5,60.0,61.5,61.5,4612.5,0.5
2014/3/31,61.5,60.0,61.5,60.0,60.0,1080.0,0.9166666666666666
2014/4/1,60.0,62.0,60.0,62.0,62.0,620.0,0.5
2014/4/8,62.0,60.8,62.0,60.8,60.8,486.4,0.8333333333333334
2014/4/11,60.8,60.0,60.8,60.0,60.0,360.0,1.0
2014/4/14,60.0,61.8,60.0,61.8,61.8,247.2,1.0
2014/4/15,61.8,63.3,61.8,63.3,63.3,316.5,0.5833333333333334
2014/4/16,63.3,63.3,63.3,63.3,63.3,360.0,0.6666666666666666
2014/4/18,63.3,63.8,63.3,63.8,63.8,319.0,0.6666666666666666
2014/4/21,63.8,62.0,63.8,62.0,62.0,248.0,0.8333333333333334
2014/4/22,62.0,65.8,62.0,65.8,65.8,329.0,0.8333333333333334
2014/4/23,65.8,61.0,65.8,61.0,61.0,366.0,1.0
2014/4/24,61.0,67.0,61.0,67.0,67.0,335.0,0.6666666666666666
2014/4/25,67.0,71.6,67.0,71.6,71.6,286.4,0.16666666666666666
2014/4/30,71.6,70.88,71.6,70.88,70.88,708.8,0.16666666666666666
2014/5/4,70.88,68.2,70.88,68.2,68.2,1023.0,0.3333333333333333
2014/5/5,68.2,66.8,68.2,66.8,66.8,1202.4,0.6666666666666666
2014/5/9,62.1,65.12,62.1,65.12,65.12,781.44,0.9166666666666666
2014/5/13,62.1,65.12,62.1,65.12,65.12,781.44,1.0
2014/5/14,65.12,67.8,65.12,67.8,67.8,949.2,1.0
